Geneid	data/sorted.bam
YOR008W-B	12
snR31	57
YOL025W	204
YOR057W	566
YOR265W	304
YOL127W	14554
YOR107W	118
YOL142W	615
YOR239W	1734
YOL091W	123
YOR317W	2942
YOR370C	1514
tM(CAU)O1	3
YOR211C	955
YOR191W	1293
YOL064C	4091
tT(AGU)O1	0
YOL049W	1597
YOL043C	211
YOR043W	1022
YOR331C	0
YOR309C	219
YOR104W	275
YOL114C	42
YOR300W	2
YOR220W	404
YOR378W	129
YOL059W	1309
YOR386W	197
YOL027C	1894
snR62	36
snR17a	46
YOL155C	1498
YOR375C	18649
snR35	26
YOR100C	55
YOL026C	268
YOL012C	799
YOR026W	316
YOR359W	447
YOR250C	260
YOL013C	423
YOR272W	1203
tG(GCC)O2	0
YOL164W-A	20
YOL082W	470
snR36	21
YOR035C	496
YOL016C	869
YOR007C	5064
YOR325W	0
YOL085W-A	26
YOL160W	10
YOR361C	4469
YOL158C	2616
YOR315W	1651
YOR010C	112
YOR384W	343
YOR234C	4442
YOR283W	602
YOR020W-A	331
YOL045W	492
YOR102W	3
YOL128C	149
YOR360C	538
YOL097C	2649
YOR164C	813
YOR175C	1748
tP(UGG)O1	0
YOR086C	2694
YOR242C	63
YOR155C	545
YOL019W-A	0
YOL030W	3478
YOR323C	1883
YOL017W	367
YOR233W	651
YOL037C	10
YOR083W	145
YOL010W	929
YOR118W	770
YOR128C	4657
YOL125W	425
YOL004W	1965
YOR177C	78
YOR166C	436
YOR006C	597
YOR324C	212
YOL024W	5
YOR033C	587
YOL033W	636
YOL070C	675
YOR116C	1948
YOL067C	302
YOR145C	839
YOR304C-A	136
YOR192C	143
YOL109W	19055
YOR078W	765
YOR134W	67
YOR131C	643
YOR368W	274
YOL111C	339
YOR168W	3478
YOR226C	527
YOL162W	64
YOR334W	158
YOR241W	1246
tP(UGG)O2	0
YOR245C	413
YOL009C	186
YOR153W	3864
YOR358W	246
YOR335W-A	0
YOR170W	28
YOR267C	947
YOR081C	493
YOL145C	1896
YOL156W	66
YOR322C	896
YOL044W	217
YOR054C	270
YOL031C	576
YOR034C-A	17
YOR306C	682
YOR261C	2753
YOR293W	13213
YOR062C	141
YOR339C	57
YOR067C	1130
YOR312C	11434
YOR094W	329
YOL135C	260
YOL105C	226
YOR329W-A	3
YOR197W	1249
YOL104C	7
YOR262W	541
YOR167C	6887
YOL015W	66
YOR161C	382
YOR393W	0
YOR105W	26
YOR210W	983
YOR364W	5
YOL087C	949
YOR127W	973
YOR184W	6686
YOR150W	574
YOR179C	160
YOR340C	937
YOR354C	1837
YOR217W	937
YOR298W	177
YOL006C	1237
YOR259C	3778
YOR318C	11
YOR320C	1372
YOR222W	2461
YOL165C	8
YOL007C	547
YOR307C	534
YOL051W	1271
YOR091W	1086
YOR079C	432
YOL022C	785
YOR278W	210
YOR024W	1
YOL148C	557
YOL078W	376
tP(UGG)O3	8
YOR089C	899
YOL098C	2058
YOR171C	794
YOL089C	390
YOL150C	0
YOR095C	1023
YOL146W	173
YOR224C	1369
YOR302W	425
YOR286W	886
YOR046C	1755
tG(CCC)O	1
YOR388C	92
YOR228C	133
YOL112W	633
YOR141C	885
YOL131W	7
YOR049C	163
YOL143C	665
YOR172W	464
YOR149C	391
YOL164W	879
YOR011W	452
YOR071C	512
YOR022C	300
YOR125C	205
YOL141W	184
YOR101W	888
YOR263C	5
YOR383C	127
YOR056C	1061
YOL075C	421
YOR073W-A	1
YOR246C	1102
YOR042W	811
YOR236W	290
YOR183W	4
YOR176W	585
YOR238W	229
YOR367W	273
YOR297C	314
YOR310C	4132
YOR063W	44614
YOR189W	328
YOL129W	1055
YOR280C	349
YOR037W	357
YOR090C	829
YOR313C	169
YOL032W	326
YOR158W	1125
YOR162C	367
YOL092W	1670
YOL061W	2122
YOR232W	2065
YOR219C	658
YOR182C	5986
YOL099C	9
YOR294W	713
YOR288C	386
YOR110W	463
YOR040W	141
YOL083W	115
YOL136C	536
YOL130W	913
YOL021C	1471
YOR282W	0
YOL077W-A	938
YOR319W	434
YOR030W	399
YOR291W	1247
